States,Availability_Q1_2021,Availability_Q1_2022,Improvement Year over Year (Percent)
Kelantan,80.5,90.5,12.4
Pahang,83,92.1,11.1
Terengganu,83,92.1,11
Negeri Sembilan,85.4,93.5,9.6
Melaka,86.3,94.1,9.1
Sabah,81.5,88.9,9
Johor,85.7,92.9,8.5
Sarawak,81.8,88.8,8.5
Labuan,84.8,91.6,8.1
Perak,85.8,92.1,7.3
Putrajaya,89.9,96.4,7.3
Perlis,88.5,94.7,7
Kedah,87,93.1,6.9
Selangor,87.3,92.6,6.1
Pulau Pinang,88.9,93.7,5.4
Kuala Lumpur,83.3,87.2,4.7
