state,Availability_Q1_2022,Median Download (Mbps)
Putrajaya,96.4,26.72
Pahang,92.1,25.12
Johor,92.9,23.44
Labuan,91.6,23.36
Selangor,92.6,23.01
Melaka,94.1,22.98
Sarawak,88.8,22.14
Perak,92.1,21.95
Negeri Sembilan,93.5,21.75
Pulau Pinang,93.7,21.57
Terengganu,92.1,21.4
Kuala Lumpur,87.2,21.08
Sabah,88.9,20.68
Kedah,93.1,20.35
Perlis,94.7,19.37
Kelantan,90.5,19.02
