state,poverty
Putrajaya,19.7
Kedah,13.2
Sabah,10.8
Johor,9
Pahang,7.5
Melaka,6.3
Perlis,6.2
Kuala Lumpur,4.6
Labuan,4.4
Kelantan,4.2
Pulau Pinang,4
Selangor,2.5
Negeri Sembilan,2
Perak,1.5
Sarawak,1.4
Terengganu,0.1
